"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A3"
"VT","(B0) TOMA"
"HT","Header C"
"BT","b1.All Respondents"
"CH",,"³¬ÄÜ",,,,"°ÂÃî",,,,"ÎÀÐÂ",,,,"ÂèÂèÒ¼Ñ¡",,,
"CL",,"aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)","aware (a)","non aware (b)","buyer (c)","aware but not buyer (d)"
"PV",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","Åô½õ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PV",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","ÆæÇ¿",6.0,4.0,3.0,3.0,4.0,6.0,0.0,4.0,1.0,9.0,0.0,1.0,1.0,9.0,0.0,1.0
"PV",,1.49253731343284,0.400801603206413,1.54639175257732,1.44230769230769,1.02827763496144,0.593471810089021,0.0,1.76211453744493,0.793650793650794,0.706436420722135,0.0,1.19047619047619,0.390625,0.786713286713287,0.0,0.689655172413793
"MK",,b," "," "," ",c,c," ",c," ",c," "," "," ",c," "," "
"RW","Ç³Óï",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PV",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","Ç¿ÉúÓ¤¶ù",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PV",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","ÇÉÏ±¸¾",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PV",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","ÈýãåÔ´",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PV",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","ÉÈÅÆ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
